DisID;GemeenteCode;AfstandTotHuisartsenpraktijk_95;AfstandTotGroteSupermarkt_96;AfstandTotKinderdagverblijf_97;AfstandTotSchool_98;AfstandTotRestaurant_224;AfstandTotTreinstation_233
1;1680;2.5;2.1;1.1;1.2;1.1;12.8
2;738;1.3;1.3;0.9;0.7;1.4;16.1
3;358;0.9;0.8;0.7;0.8;0.6;8.3
4;197;1.3;1.3;0.8;0.8;1;4.4
5;59;1.6;1.6;0.8;0.7;1.3;7.2
6;482;0.8;0.7;0.4;0.5;0.6;8.7
7;613;0.8;0.9;0.7;0.8;0.9;8.9
8;361;0.9;0.8;0.5;0.6;0.8;3
9;141;1;0.8;0.7;0.7;0.9;2.4
10;34;0.9;0.7;0.5;0.6;0.8;2
11;484;0.9;0.9;0.6;0.7;0.8;3.4
12;1723;1.7;1.5;1;1;0.9;12.8
13;60;1;0.5;1;0.8;0.3;39.6
14;307;0.8;0.7;0.5;0.6;0.5;2.6
15;362;0.8;0.7;0.6;0.7;0.6;5.9
16;363;0.5;0.5;0.3;0.5;0.3;2.5
17;200;0.9;0.8;0.7;0.7;0.7;3.2
18;3;1.3;0.9;1;0.9;0.9;1.5
19;202;0.9;0.8;0.5;0.6;0.7;2.3
20;106;1.2;0.8;0.6;0.7;1;3.2
21;743;1.3;1.1;0.9;0.8;0.8;8.3
22;744;2.3;2.3;1.6;1.7;1.2;19.3
23;308;0.9;0.6;0.6;0.6;0.6;1.6
24;489;1.2;1.4;0.6;0.8;1.1;4.4
25;203;1.3;1.1;0.9;0.9;1.5;3.4
26;5;1.1;1.1;0.7;0.9;0.7;2.1
27;888;0.9;1;0.8;0.7;0.7;1.9
28;370;1.4;1.6;1.1;1.2;1.1;6.4
29;889;1;0.7;0.7;0.8;0.8;1.4
30;1945;1;1;0.8;0.8;1;7.7
31;1724;1.2;1.3;0.8;0.8;0.8;18.9
32;893;2.2;1.8;1;1;0.7;8.1
33;373;1.1;0.9;0.8;0.8;0.7;6.5
34;748;0.9;0.9;0.6;0.6;0.9;2.8
35;1859;1.6;1.4;1.1;0.8;1.1;9.1
36;1721;1.3;1;0.9;0.8;1.1;8.1
37;753;0.9;0.8;0.6;0.7;0.8;1.6
38;209;0.7;0.9;0.7;0.8;0.8;6.7
39;375;0.6;0.6;0.5;0.6;0.5;1.8
