PopID;GemeenteCode;AantalInwoners;Mannen;Vrouwen;k_0Tot15Jaar_8;k_15Tot25Jaar_9;k_25Tot45Jaar_10;k_45Tot65Jaar_11;k_65JaarOfOuder_12;Bevolkingsdichtheid_33;GemiddeldInkomenPerInwoner_66
1;1680;25390;12666;12724;3531;2571;4398;8396;6494;92;26.1
2;738;13153;6684;6469;2505;1766;2998;3644;2240;261;24.1
3;358;31499;15596;15903;5753;3564;7112;9304;5766;1566;29.3
4;197;26962;13559;13403;4379;2948;5500;8297;5838;279;22.8
5;59;27935;14203;13732;5031;3311;6325;7913;5355;273;20.3
6;482;20014;9826;10188;3900;2440;4641;5126;3907;2280;24.1
7;613;25218;12499;12719;4655;2749;5794;7807;4213;1163;31
8;361;108470;53713;54757;17137;11915;28033;31058;20327;982;26.1
9;141;72629;36239;36390;12035;8764;17395;20523;13912;1080;21.9
10;34;203990;101181;102809;38921;26492;56407;60104;22066;1579;25.2
11;484;109682;54563;55119;18579;12836;26820;31200;20247;869;27.2
12;1723;10083;5139;4944;1523;1148;1976;3230;2206;108;27.2
13;60;3654;1812;1842;603;355;839;1020;837;62;22.9
14;307;155226;76486;78740;29288;18291;41723;43547;22377;2479;28.1
15;362;89870;43067;46803;15792;10463;23262;23196;17157;2185;32.8
16;363;854047;423114;430933;126007;109354;304288;208818;105580;5160;29.6
17;200;161156;80162;80994;25778;18558;37143;46758;32919;474;25.8
18;3;11801;5751;6050;1773;1202;2439;3562;2825;496;22.1
19;202;157223;78509;78714;25252;20818;46025;41640;23488;1607;24.4
20;106;67708;33465;34243;11437;7703;15670;19800;13098;827;24.1
21;743;16719;8622;8097;2569;1986;3573;5003;3588;238;25
22;744;6799;3447;3352;948;616;1418;2010;1807;89;26.7
23;308;24630;11916;12714;3936;2444;5164;7405;5681;757;31.1
24;489;48477;23873;24604;9179;5992;10626;14598;8082;2455;29.3
25;203;57339;28519;28820;12365;7963;13606;14191;9214;326;23.7
26;5;10475;5235;5240;1695;1185;2198;3165;2232;235;23.6
27;888;15895;7752;8143;1936;1709;3182;5088;3980;756;26.8
28;370;9550;4756;4794;1610;1082;2063;2869;1926;135;29
29;889;13444;6761;6683;1940;1471;2761;4254;3018;480;23.7
30;1945;34748;17269;17479;4750;3860;6725;11070;8343;402;25.5
31;1724;18398;9379;9019;2731;2241;3781;5646;3999;182;26.4
32;893;13106;6554;6552;1802;1475;2482;4376;2971;127;23.8
33;373;29941;14469;15472;3684;3176;4327;9379;9375;303;30.7
34;748;66354;32878;33476;10039;7362;15074;19987;13892;830;25.3
35;1859;44029;22088;21941;6577;4942;8284;13671;10555;171;23.9
