SoDeID;GemeenteCode;Bevolkingsdichtheid_33;Woningvoorraad_34;PercentageBewoond_38
1;1680;92;11165;95
2;738;261;5109;94
3;358;1566;12888;96
4;197;279;11922;96
5;59;273;12075;97
6;482;2280;8276;97
7;613;1163;10333;96
8;361;982;50830;97
9;141;1080;32988;96
10;34;1579;82312;98
11;484;869;47099;97
12;1723;108;4280;94
13;60;62;1712;87
14;307;2479;66530;97
15;362;2185;41782;93
16;363;5160;432715;94
17;200;474;71526;96
18;3;496;5925;95
19;202;1607;74416;96
20;106;827;31424;96
21;743;238;6803;98
22;744;89;2832;92
23;308;757;11564;93
24;489;2455;19184;98
25;203;326;21926;96
26;5;235;4614;96
27;888;756;7424;97
28;370;135;3836;97
29;889;480;5946;97
30;1945;402;15519;97
31;1724;182;7810;96
32;893;127;5683;96
33;373;303;15113;89
34;748;830;30047;96
35;1859;171;19492;96
36;1721;340;12301;96
37;753;860;12353;97
38;209;591;11043;97
39;375;2232;19189;95
40;310;648;19412;96
41;585;420;12809;96
42;1728;267;8552;96
43;376;971;4864;95
44;377;583;9894;95
45;1901;450;14260;94
46;755;304;4082;96
47;9;161;3052;96
48;1681;92;11608;92
49;147;889;9748;98
50;654;160;9781;96
51;756;259;12206;97
52;757;481;13333;96
53;758;1459;83253;97
54;501;619;7918;93
55;1876;128;16088;96
56;213;248;9279;97
57;899;1637;14508;93
58;312;412;6371;97
59;313;700;8251;96
60;214;197;10529;96
61;502;4728;30748;97
62;383;717;15814;97
63;109;119;15478;96
64;1706;266;8887;96
65;611;236;5635;96
66;1684;487;10938;97
67;216;963;12177;97
68;148;171;11511;97
69;1891;223;8144;97
70;503;4514;49855;95
71;10;187;12241;93
72;762;275;13644;97
73;150;763;44707;97
74;384;2345;13136;95
75;1774;150;10774;93
76;221;983;5279;97
77;222;726;25628;97
78;766;881;11075;97
79;58;142;11024;94
80;505;1508;55059;95
81;498;330;8202;97
82;1719;284;11708;96
83;303;122;16901;96
84;225;497;7983;96
85;226;750;10678;98
86;1711;308;14532;96
87;385;662;14915;97
88;228;360;48007;94
89;317;294;3812;98
90;1651;82;7410;95
91;770;228;8071;95
92;1903;330;11181;95
93;772;2614;109468;96
94;230;362;9274;97
95;114;320;48923;97
96;388;1457;8717;96
97;153;1124;73672;96
98;232;211;14243;96
99;233;313;10948;95
100;777;787;18732;98
101;1722;87;3847;95
102;1940;147;23086;94
103;779;808;9614;97
104;236;269;10940;96
105;1771;1266;17429;97
106;1652;248;12683;96
107;907;358;7387;96
108;689;229;5926;97
109;784;402;11199;96
110;1924;189;21374;95
111;664;407;18062;94
112;785;549;10164;97
113;1942;1378;26342;95
114;512;1927;16392;96
115;513;4405;32758;97
116;786;457;5419;96
117;518;6459;256694;92
118;14;2137;100946;96
119;15;140;5007;97
120;1729;194;6784;91
121;158;232;10315;95
122;788;244;5805;96
123;392;5476;74796;96
124;393;305;2357;96
125;394;826;60622;97
126;1655;401;13093;96
127;160;194;24316;97
128;243;1204;19289;97
129;523;1062;7248;96
130;17;438;8925;96
131;72;632;7621;94
132;244;527;5284;96
133;396;1432;17439;98
134;397;2951;12561;96
135;246;236;7815;97
136;74;264;23367;95
137;398;1462;23216;98
138;917;1931;45758;95
139;1658;153;6772;95
140;399;1235;10528;96
141;400;1232;27988;95
142;163;260;14645;98
143;530;973;17925;97
144;794;1709;39798;97
145;531;2891;12141;98
146;164;1325;38169;96
147;796;1392;71196;96
148;252;414;7123;98
149;797;554;18523;97
150;534;1694;9681;97
151;798;162;6522;96
152;402;1963;41942;95
153;1735;164;15054;96
154;1911;133;20689;96
155;118;437;24867;96
156;405;3573;32783;97
157;1507;224;17610;97
158;321;902;20032;98
159;406;2617;18834;97
160;677;136;13384;93
161;353;1628;14344;98
162;1884;421;11294;96
163;166;375;21843;96
164;678;343;5317;96
165;537;2625;26329;97
166;928;2092;23904;94
167;1598;282;9291;97
168;79;117;5524;96
169;588;146;4595;97
170;542;3812;12451;98
171;1931;375;23569;96
172;1659;400;9318;97
173;1685;218;6126;97
174;882;1530;18128;96
175;415;508;4835;96
176;416;1165;11467;97
177;1621;1145;23565;97
178;417;898;5269;92
179;22;311;8614;98
180;545;623;8875;96
181;80;514;60905;96
182;546;5674;58079;96
183;547;2350;12118;98
184;1916;2302;36481;96
