ID;Woonplaatscode;Woonplaats;ProvincieCode;Gemeentecode;ProvincieName
0;WP1925    ;Almelo                             ;PV23      ;141;Overijssel               
1;WP2774    ;Veere                              ;PV29      ;717;Zeeland                  
2;WP2145    ;Coevorden                          ;PV22      ;109;Drenthe                  
3;WP2571    ;Aalsmeer                           ;PV27      ;358;Noord-Holland            
4;WP1600    ;Haarlemmermeer                     ;PV25      ;297;Gelderland               
5;WP2626    ;Zaltbommel                         ;PV21      ;58;Friesland                
6;WP3387    ;Dongeradeel                        ;PV28      ;569;Zuid-Holland             
7;WP1193    ;Aalten                             ;PV30      ;1659;Noord-Brabant            
8;WP2673    ;Nieuwkoop                          ;PV26      ;736;Utrecht                  
9;WP2394    ;Assen                              ;PV20      ;53;Groningen                
10;WP2961    ;Sluis                              ;PV31      ;893;Limburg                  
11;WP1079    ;Alphen aan den Rijn                ;PV24      ;34;Flevoland                
12;WP1445    ;Laarbeek                           ;;;
13;WP2788    ;Opmeer                             ;;;
14;WP2400    ;Sudwest-Fryslan                    ;;;
15;WP3147    ;Medemblik                          ;;;
16;WP1385    ;Nissewaard                         ;;;
17;WP1608    ;Haarlemmermeer                     ;;;
18;WP1332    ;De Ronde Venen                     ;;;
19;WP1364    ;Waadhoeke                          ;;;
20;WP1063    ;Barneveld                          ;;;
21;WP2640    ;Leusden                            ;;;
22;WP2131    ;Goeree-Overflakkee                 ;;;
23;WP3493    ;Zundert                            ;;;
24;WP3527    ;Geldermalsen                       ;;;
25;WP2464    ;Winsum                             ;;;
26;WP2114    ;Zuidhorn                           ;;;
27;WP2652    ;Bloemendaal                        ;;;
28;WP2976    ;Zevenaar                           ;;;
29;WP2902    ;Druten                             ;;;
30;WP1122    ;Bergen (L.)                        ;;;
31;WP1407    ;Dinkelland                         ;;;
32;WP2267    ;Castricum                          ;;;
33;WP2525    ;Heerenveen                         ;;;
34;WP2484    ;De Fryske Marren                   ;;;
35;WP1283    ;Tubbergen                          ;;;
36;WP2386    ;Alblasserdam                       ;;;
37;WP3224    ;Leeuwarden                         ;;;
38;WP2532    ;Heerenveen                         ;;;
39;WP2441    ;Tytsjerksteradiel                  ;;;
40;WP1623    ;Maasdriel                          ;;;
41;WP2348    ;Alkmaar                            ;;;
42;WP2301    ;Sudwest-Fryslan                    ;;;
43;WP1924    ;Almelo                             ;;;
44;WP1334    ;Lochem                             ;;;
45;WP1270    ;Almere                             ;;;
46;WP3300    ;Woudrichem                         ;;;
47;WP1766    ;West Maas en Waal                  ;;;
48;WP3432    ;Alphen-Chaam                       ;;;
49;WP1080    ;Alphen aan den Rijn                ;;;
50;WP1633    ;Noordenveld                        ;;;
51;WP3079    ;Stadskanaal                        ;;;
52;WP3160    ;De Wolden                          ;;;
53;WP1810    ;Hoogeveen                          ;;;
54;WP1767    ;West Maas en Waal                  ;;;
55;WP1438    ;Hof van Twente                     ;;;
56;WP2106    ;Zederik                            ;;;
57;WP1147    ;Aa en Hunze                        ;;;
58;WP1026    ;Horst aan de Maas                  ;;;
59;WP3337    ;Utrechtse Heuvelrug                ;;;
60;WP1664    ;Amersfoort                         ;;;
61;WP2367    ;Krimpenerwaard                     ;;;
62;WP1624    ;Maasdriel                          ;;;
63;WP3547    ;De Ronde Venen                     ;;;
64;WP1050    ;Amstelveen                         ;;;
65;WP2099    ;Schinnen                           ;;;
66;WP3594    ;Amsterdam                          ;;;
67;WP3569    ;Ouder-Amstel                       ;;;
68;WP3301    ;Woudrichem                         ;;;
69;WP2466    ;Winsum                             ;;;
70;WP1862    ;Overbetuwe                         ;;;
71;WP1148    ;Aa en Hunze                        ;;;
72;WP1053    ;Medemblik                          ;;;
73;WP1537    ;Hardenberg                         ;;;
74;WP1538    ;Hardenberg                         ;;;
75;WP1539    ;Hardenberg                         ;;;
76;WP3133    ;Lingewaard                         ;;;
77;WP1299    ;Zevenaar                           ;;;
78;WP3388    ;Dongeradeel                        ;;;
79;WP2999    ;Wijdemeren                         ;;;
80;WP1149    ;Aa en Hunze                        ;;;
81;WP3185    ;Hollands Kroon                     ;;;
82;WP1150    ;Aa en Hunze                        ;;;
83;WP1151    ;Aa en Hunze                        ;;;
84;WP3104    ;Westerveld                         ;;;
85;WP3161    ;De Wolden                          ;;;
86;WP2296    ;Westerwolde                        ;;;
87;WP3560    ;Apeldoorn                          ;;;
88;WP2297    ;Westerwolde                        ;;;
89;WP1753    ;Ooststellingwerf                   ;;;
90;WP1768    ;West Maas en Waal                  ;;;
91;WP3386    ;Appingedam                         ;;;
92;WP3140    ;Venlo                              ;;;
93;WP1432    ;Giessenlanden                      ;;;
94;WP1008    ;Middelburg                         ;;;
95;WP1296    ;Arnhem                             ;;;
96;WP3630    ;Ommen                              ;;;
97;WP2302    ;Sudwest-Fryslan                    ;;;
98;WP3370    ;Buren                              ;;;
99;WP2353    ;Lingewaal                          ;;;
100;WP2391    ;Assen                              ;;;
101;WP1878    ;Zaanstad                           ;;;
102;WP2928    ;Asten                              ;;;
103;WP3307    ;Kollumerland en Nieuwkruisland     ;;;
104;WP3173    ;Achtkarspelen                      ;;;
105;WP2824    ;Zeist                              ;;;
106;WP1183    ;Koggenland                         ;;;
107;WP1128    ;Terneuzen                          ;;;
108;WP2202    ;Montferland                        ;;;
109;WP2621    ;Terschelling                       ;;;
110;WP2008    ;Waadhoeke                          ;;;
111;WP1527    ;Bronckhorst                        ;;;
112;WP1333    ;De Ronde Venen                     ;;;
113;WP2009    ;Leeuwarden                         ;;;
114;WP1251    ;Borsele                            ;;;
115;WP2883    ;Baarle-Nassau                      ;;;
116;WP2602    ;Peel en Maas                       ;;;
117;WP2691    ;Steenwijkerland                    ;;;
118;WP1092    ;Baarn                              ;;;
119;WP2692    ;Steenwijkerland                    ;;;
120;WP1298    ;Zevenaar                           ;;;
121;WP1951    ;Aalburg                            ;;;
122;WP1420    ;Oldambt                            ;;;
123;WP1617    ;Haarlemmermeer                     ;;;
124;WP2940    ;Leudal                             ;;;
125;WP2465    ;Winsum                             ;;;
126;WP2090    ;Gemert-Bakel                       ;;;
